Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$133,441,000",Murphy Bank,5180 North Palm Avenue,Fresno,California,93704,http://www.murphybank.com,Fresno, ,"Fresno, CA"
"$129,526,000",Finance and Thrift Company,268 North Main Street,Porterville,California,93257,http://www.financeandthrift.com,Tulare, ,"Visalia-Porterville, CA"
"$129,002,000",Premier Service Bank,"3637 Arlington Avenue, Suite B",Riverside,California,92506,http://www.premierservicebank.com,Riverside, ,"Riverside-San Bernardino-Ontario, CA"
"$128,049,000",Metropolitan Bank,250 East 18th Street,Oakland,California,94606, ,Alameda,Met Financial Corporation,"San Francisco-Oakland-Hayward, CA"
"$127,615,000",America California Bank,417 Montgomery Street,San Francisco,California,94104,http://www.acbank.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$127,584,000",Pacific Alliance Bank,8400 East Valley Boulevard,Rosemead,California,91770,www.pacificalliancebank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$125,935,000",Vibra Bank,530 Broadway,Chula Vista,California,91910,www.vibrabank.com,San Diego, ,"San Diego-Carlsbad, CA"
"$125,189,000",Trans-Pacific National Bank,55 Second Street,San Francisco,California,94105,http://www.tpnb.com,San Francisco,Trans Pacific Bancorp,"San Francisco-Oakland-Hayward, CA"
"$124,986,000",Eastern International Bank,688 New High Street,Los Angeles,California,90012, ,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$123,715,000",Community Bank of San Joaquin,22 West Yokuts Avenue,Stockton,California,95207,http://www.cbsjbank.com,San Joaquin,"Bank On It, Inc.","Stockton-Lodi, CA"
"$121,838,000",Partners Bank of California,"27201 Puerta Real, Suite 160",Mission Viejo,California,92691,http://partnersbankca.com,Orange, ,"Los Angeles-Long Beach-Anaheim, CA"
"$119,686,000",Americas United Bank,"801 North Brand Boulevard, Suite #1150",Glendale,California,91203,http://www.aubank.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$118,279,000",Cornerstone Community Bank,237 South Main Street,Red Bluff,California,96080,http://www.bankcornerstone.com,Tehama, ,"Red Bluff, CA"
"$117,437,000",Coast National Bank,500 Marsh Street,San Luis Obispo,California,93401,www.coastnationalbank.com,San Luis Obispo,Coast Bancorp,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"$116,993,000","Chino Commercial Bank, N.A.",14245 Pipeline Avenue,Chino,California,91710,http://www.chinocommercialbank.com,San Bernardino,Chino Commercial Bancorp,"Riverside-San Bernardino-Ontario, CA"
"$112,886,000",United Pacific Bank,1630 South Azusa Avenue,City Of Industry,California,91748,http://upbnet.com,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$110,423,000",Suncrest Bank,400 West Center Avenue,Visalia,California,93291,http://www.suncrestbank.com,Tulare, ,"Visalia-Porterville, CA"
"$108,932,000",California Pacific Bank,"250 Montgomery Street, 5th Floor",San Francisco,California,94104, ,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$106,298,000",Pan Pacific Bank,47065 Warm Springs Boulevard,Fremont,California,94539,http://panpacificbank.com,Alameda, ,"San Francisco-Oakland-Hayward, CA"
"$105,130,000",Home Bank of California,4493 Ruffin Road,San Diego,California,92123,http://www.homebankofcalifornia.com,San Diego,La Jolla Pacific Bancorp,"San Diego-Carlsbad, CA"
"$104,449,000",Community Valley Bank,1443 Main Street,El Centro,California,92243,http://www.yourcvb.com,Imperial, ,"El Centro, CA"
